plant;date;height_cm;width_cm;note;health
Ivan;03.07.2024;10.0;11.0;;3
Tom;03.07.2024;38.0;55.0;;3
Terry;03.07.2024;80.0;53.0;;3
Martha;03.07.2024;38.0;17.0;;3
Dirk;03.07.2024;4.0;3.0;;3
Klaus;03.07.2024;104.0;80.0;;3
Mike;03.07.2024;50.0;20.0;Some yellow leaves, otherwise doing great;3
Harry;03.07.2024;29.0;34.0;;3
Sam;03.07.2024;2.5;3.5;Looking very healthy again;3
Nosferatu;03.07.2024;36.0;17.0;Doesn't seem to be growing much anymore;3
Tony;03.07.2024;56.0;45.0;;3
Louie;03.07.2024;50.0;55.0;;3
Jake;03.07.2024;70.0;56.0;;3
Charles;03.07.2024;71.0;60.0;;3
Ray;03.07.2024;85.0;65.0;;3
Amy;03.07.2024;61.0;54.0;;3
Rosa;03.07.2024;73.0;59.0;;3
Gina;03.07.2024;70.0;60.0;;3
Scully;03.07.2024;68.0;57.0;;3
Hitchcock;03.07.2024;71.0;54.0;;3
Lucas;03.07.2024;9.0;6.0;;3
Sandra;03.07.2024;15.0;10.0;;3
Jim;03.07.2024;17.0;12.0;Something keeps eating leaves;3
Tim;03.07.2024;17.0;12.0;;3
Chris;03.07.2024;25.0;14.0;;3
Bart;03.07.2024;14.0;10.0;;3
Bond;03.07.2024;21.0;11.0;;3
Mrs Sprout;03.07.2024;24.0;15.0;;3
Fuchur;03.07.2024;52.0;36.0;;3
Timon;03.07.2024;17.0;22.0;;3
Avi;03.07.2024;1.0;0.5;;3
Albus;03.07.2024;1.2;0.5;;3
Jenn;03.07.2024;3.0;5.0;;3
Joe;03.07.2024;3.0;6.0;;3
Jack;03.07.2024;0.5;3.0;;3
Jane;03.07.2024;0.5;4.0;;3
Bubba;03.07.2024;51.0;43.0;;3
Tupac;03.07.2024;7.0;10.0;;3
Smaug;03.07.2024;15.0;12.0;;3
Gabrielle;03.07.2024;25.0;30.0;Added during plant creation;3
Jill;03.07.2024;3.0;4.0;Added during plant creation;3
Cyrus;06.07.2024;25.0;40.0;Added during plant creation;3
Stefan;16.07.2024;20.0;32.0;First Fruit;3
Beehome;16.07.2024;51.0;30.0;Most plants have already died, mostly natural I think;3
Brock;16.07.2024;24.0;20.0;Has been attacked by snails;3
Cerberus;16.07.2024;10.0;8.0;;3
Elvis;16.07.2024;47.0;46.0;;3
Eva Longoria;16.07.2024;92.0;39.0;seems a bit stressed;3
Findus;16.07.2024;78.0;72.0;;3
Jerry;16.07.2024;47.0;42.0;Still hanging a bit sideways, but stalk is helping;3
Kelly;16.07.2024;48.0;47.0;;3
Kevin;16.07.2024;30.0;50.0;;3
Liliana;16.07.2024;25.0;30.0;;3
Lucy;16.07.2024;46.0;32.0;first fruit;3
Sandy;16.07.2024;37.0;36.0;;3
Maria;16.07.2024;16.0;10.0;;3
Nadja;16.07.2024;49.0;28.0;;3
Pepe;16.07.2024;3.0;5.0;;3
Peppa;16.07.2024;7.0;16.0;;3
Rosy;16.07.2024;39.0;59.0;New leaf uncurling;3
Zoey;16.07.2024;53.0;82.0;Still no fruit;3
Chrom;16.07.2024;102.0;82.0;Flowering;3
Darryl;16.07.2024;36.0;11.0;;3
Zane;16.07.2024;54.0;62.0;Still no fruit;3
Ivan;16.07.2024;10.0;10.0;;3
Tom;16.07.2024;38.0;47.0;Almost died from heat;3
Hella;16.07.2024;25.0;41.0;Too many burned leaves;3
Terry;16.07.2024;91.0;50.0;;3
Martha;16.07.2024;19.0;32.0;;3
Dirk;16.07.2024;4.0;4.0;;3
Klaus;16.07.2024;112.0;100.0;Flowering;3
Mike;16.07.2024;46.0;26.0;Almost died from heat;3
