Date;Plant;Height;Width;Note
16.07.2024;Jim;20.0;13.0;Seems to survive snail attacks
31.07.2024;Jim;20.0;16.0;
04.06.2024;Tim;7.0;6.0;Added during plant creation
10.06.2024;Tim;8.0;9.0;
14.06.2024;Tim;10.0;8.0;
25.06.2024;Tim;12.0;10.0;Might be a bit crowded
03.07.2024;Tim;17.0;12.0;
16.07.2024;Tim;19.0;12.0;
31.07.2024;Tim;26.0;12.0;
15.08.2024;Tim;38.0;15.0;
04.06.2024;Chris;10.0;6.0;Added during plant creation
10.06.2024;Chris;13.0;7.0;
14.06.2024;Chris;11.0;7.0;
25.06.2024;Chris;16.0;10.0;
03.07.2024;Chris;25.0;14.0;
16.07.2024;Chris;30.0;12.0;
31.07.2024;Chris;30.0;12.0;
15.08.2024;Chris;48.0;12.0;
04.06.2024;Bart;3.0;6.0;Added during plant creation
10.06.2024;Bart;7.0;4.0;
14.06.2024;Bart;6.0;4.0;
25.06.2024;Bart;9.0;6.0;
03.07.2024;Bart;14.0;10.0;
16.07.2024;Bart;16.0;7.0;
31.07.2024;Bart;17.0;11.0;
04.06.2024;Bond;10.0;6.0;Added during plant creation
10.06.2024;Bond;7.0;8.0;
25.06.2024;Bond;11.0;8.0;Might have been attacked by snails
03.07.2024;Bond;21.0;11.0;
16.07.2024;Bond;27.0;11.0;
31.07.2024;Bond;26.0;27.0;
10.06.2024;Mrs Sprout;22.0;14.0;Added during plant creation
25.06.2024;Mrs Sprout;23.0;14.0;
03.07.2024;Mrs Sprout;24.0;15.0;
16.07.2024;Mrs Sprout;29.0;18.0;
31.07.2024;Mrs Sprout;24.0;21.0;
10.06.2024;Fuchur;53.0;39.0;Added during plant creation
25.06.2024;Fuchur;50.0;32.0;
03.07.2024;Fuchur;52.0;36.0;
16.07.2024;Fuchur;51.0;43.0;
31.07.2024;Fuchur;46.0;46.0;Fell over, not sure if he will survive, but now separated into two plants
10.06.2024;Timon;16.0;20.0;Added during plant creation
25.06.2024;Timon;19.0;19.0;
03.07.2024;Timon;17.0;22.0;
16.07.2024;Timon;22.0;21.0;
31.07.2024;Timon;19.0;21.0;
10.06.2024;Pumbaa;21.0;29.0;Added during plant creation
25.06.2024;Pumbaa;22.0;26.0;standing a bit tilted
16.07.2024;Pumbaa;29.0;29.0;
31.07.2024;Pumbaa;22.0;26.0;
26.06.2024;Rihanna;44.0;30.0;Added during plant creation
26.06.2024;Jay;19.0;23.0;Added during plant creation
26.06.2024;Avi;0.1;0.1;Added during plant creation
03.07.2024;Avi;1.0;0.5;
16.07.2024;Avi;6.0;1.0;
23.07.2024;Avi;11.5;1.0;
02.08.2024;Avi;22.0;9.0;
26.06.2024;Albus;0.1;0.1;Added during plant creation
03.07.2024;Albus;1.2;0.5;
23.07.2024;Albus;11.0;1.0;
02.08.2024;Albus;20.0;7.0;
26.06.2024;Jenn;3.5;3.5;Added during plant creation
26.06.2024;Jenn;2.5;6.0;Added during plant creation
03.07.2024;Jenn;3.0;5.0;
16.07.2024;Jenn;4.5;5.0;
02.08.2024;Jenn;3.0;6.5;
26.06.2024;Joe;2.5;5.5;Added during plant creation
03.07.2024;Joe;3.0;6.0;
16.07.2024;Joe;4.5;5.0;
02.08.2024;Joe;3.0;6.0;
26.06.2024;Jack;0.5;2.5;Added during plant creation
03.07.2024;Jack;0.5;3.0;
16.07.2024;Jack;1.0;2.0;
02.08.2024;Jack;1.0;3.0;
26.06.2024;Jane;0.5;4.0;Added during plant creation
03.07.2024;Jane;0.5;4.0;
16.07.2024;Jane;1.5;3.5;
02.08.2024;Jane;1.0;4.0;
26.06.2024;Bubba;51.0;34.0;Added during plant creation
03.07.2024;Bubba;51.0;43.0;
16.07.2024;Bubba;58.0;47.0;First new leaf
31.07.2024;Bubba;59.0;45.0;
28.06.2024;Tupac;2.0;10.0;Added during plant creation
03.07.2024;Tupac;7.0;10.0;
16.07.2024;Tupac;5.0;9.0;Lost a leaf but got two new ones
31.07.2024;Tupac;5.0;6.0;Leaf got burned from the sun
28.06.2024;Smaug;14.0;13.0;Added during plant creation
03.07.2024;Smaug;15.0;12.0;
16.07.2024;Smaug;14.0;13.0;
02.08.2024;Smaug;13.5;9.0;
03.07.2024;Gabrielle;25.0;30.0;Added during plant creation
03.07.2024;Jill;3.0;4.0;Added during plant creation
16.07.2024;Jill;3.5;3.0;Still no new growth
02.08.2024;Jill;3.0;3.0;
16.07.2024;Leela;10.0;25.0;Added during plant creation
31.07.2024;Leela;14.0;25.0;
16.07.2024;Anya;7.5;10.0;Added during plant creation
31.07.2024;Anya;5.0;8.0;
16.07.2024;Tito;3.0;3.0;Added during plant creation
02.08.2024;Tito;3.0;3.0;
16.07.2024;Tigger;4.0;5.0;Added during plant creation
02.08.2024;Tigger;5.0;6.5;
24.07.2024;Jesus;14.0;12.0;Added during plant creation
31.07.2024;Jesus;15.0;13.0;Fell over, might survive
09.08.2024;Mufasa;103.0;96.0;Added during plant creation
09.08.2024;Selene;25.0;14.0;Added during plant creation
09.08.2024;Sting;3.0;7.0;Added during plant creation
12.08.2024;Al;10.0;11.0;Added during plant creation
15.08.2024;Hella;33;20;Hasn't recovered
15.08.2024;Sting;5;8;
15.08.2024;Brock;43;44;
15.08.2024;Bart;22;18;Recovering slowly
15.08.2024;Jerry;34;40;
15.08.2024;Jim;32;33;
15.08.2024;Bond;42;54;
15.08.2024;Zoey;16;9;Might have died from snails
15.08.2024;Zane;51;74;
15.08.2024;Biggie;13;6;Severe sunburn
15.08.2024;Tupac;3;4;Severe sunburn
15.08.2024;Stefan;15;28;Probably done with fruit
15.08.2024;Mike;51;30;Needs new pot
15.08.2024;Lucy;49;47;
15.08.2024;Lucas;16;9;
15.08.2024;Sandy;45;41;
15.08.2024;Sandra;26;21;
15.08.2024;Nadja;48;41;
15.08.2024;Nate;19;23;
15.08.2024;Darryl;33;13;
15.08.2024;Cerberus;9;8.5;
15.08.2024;Pepe;2.5;4;
15.08.2024;Tito;3;3;
15.08.2024;Sam;2.5;3;
15.08.2024;Ivan;10;10;
15.08.2024;Tigger;5;6;
15.08.2024;Jack;0.5;2;
15.08.2024;Jane;1;4;
15.08.2024;Martha;24;43;
15.08.2024;Timon;22;26;
15.08.2024;Pumbaa;22;27;
15.08.2024;Liliana;27;28;
15.08.2024;Bubba;58;37;
15.08.2024;Smaug;13;11;Overwatered
15.08.2024;Mrs Sprout;30;24;
